Center,Family,Orient,SV_1,SV_2,SV_3,SV_4,SV_5,SV_6,T,C,nu,k
L4,SPO,None,0.622521490762424,0.72584232185884,0,-0.214221454673397,-1.06168968505457,0,6.2669102597272,1.82029042701008,1,1.9996759669047
L4,SPO,None,0.632083544773209,0.732187582421461,0,-0.199674569376858,-1.06195095174,0,6.26718614590808,1.82368110459984,1,1.99965315021208
L4,SPO,None,0.641598565130527,0.738505799188288,0,-0.185293337626867,-1.06222497829681,0,6.26748444428594,1.82732604856371,1,1.99962818568895
L4,SPO,None,0.650815317481801,0.74477626778276,0,-0.171163567591114,-1.0625435955259,0,6.26779677642471,1.83111846786936,1,1.99960168487111
L4,SPO,None,0.660601506228609,0.750008972475434,0,-0.159054107512347,-1.06239666552813,0,6.26816480591884,1.83555839200203,1,1.99957026818449
L4,SPO,None,0.674021031585697,0.753640153792998,0,-0.149400631696953,-1.06098346345011,0,6.26874420139219,1.84248244114599,1,1.99951939073953
L4,SPO,None,0.682784625895122,0.760049562023328,0,-0.1353263961831,-1.06141295501072,0,6.26912955874416,1.84704562845368,1,1.99948512638582
L4,SPO,None,0.69188556650929,0.766267410478629,0,-0.121653995191108,-1.0616662043871,0,6.2695636760677,1.85214693914962,1,1.99944595019856
L4,SPO,None,0.700956715043479,0.772390108223776,0,-0.108263844993283,-1.06184056871525,0,6.27003075056631,1.85758772418186,1,1.99940308612935
L4,SPO,None,0.709928680896487,0.778418809409839,0,-0.0951622043317587,-1.06194157398984,0,6.27052869297457,1.86333501398919,1,1.99935659943566
L4,SPO,None,0.718588226844138,0.784371824952917,0,-0.082352579284912,-1.06200984883532,0,6.27104555312571,1.86923773517218,1,1.99930731946263
L4,SPO,None,0.728411584302798,0.790330319463412,0,-0.069386109997932,-1.06175497371076,0,6.27168185374249,1.87643471467944,1,1.99924569592056
L4,SPO,None,0.725612716132046,0.798884061725214,0,-0.0542151877919518,-1.06474339258212,0,6.27145302011091,1.87385821446931,1,1.99926806415542
L4,SPO,None,0.733921040174659,0.804706575607459,0,-0.0420046421251496,-1.0646167543318,0,6.2720223145743,1.88024519339849,1,1.99921218572902
L4,SPO,None,0.740571157566041,0.810949018402921,0,-0.0294254170469605,-1.06484213384426,0,6.27250431496345,1.88561310707738,1,1.99916412861492
L4,SPO,None,0.748716632374738,0.816612095723589,0,-0.0176963914339301,-1.06451113655542,0,6.27313934888265,1.89260574842054,1,1.99909968833073
L4,SPO,None,0.753239155665465,0.822552186196572,0,-0.00621514573538435,-1.06493725145392,0,6.27350952719336,1.89664950652381,1,1.99906163074464
L4,SPO,None,0.770581769055423,0.824617053500194,0,0.000734463253182814,-1.06136929910159,0,6.27507906878983,1.9134929192092,1,1.99889537768427
L4,SPO,None,0.783171638198563,0.829792584040589,0,0.0123179836818529,-1.05932316543725,0,6.27636267335204,1.92694206916797,1,1.99875416656169
L4,SPO,None,0.797377916699923,0.834866409397031,0,0.0240288152838938,-1.05643720724062,0,6.27798132144393,1.94349406867247,1,1.9985692563384
L4,SPO,None,0.812474730363707,0.839629412825843,0,0.0353992295852091,-1.05268603294854,0,6.27992683964741,1.96281939379033,1,1.99833716794049
L4,SPO,None,0.828604480031,0.842309566134072,0,0.0435289113838345,-1.0474215501107,0,6.28229119323002,1.98553354963453,1,1.99804150529261
L4,SPO,None,0.84325312959963,0.846907819699808,0,0.054662757478906,-1.04232957728349,0,6.28476925528128,2.00848608523387,1,1.9977159752637
L4,SPO,None,0.856854909213066,0.852015380169098,0,0.0664472993417582,-1.03694145588098,0,6.28741188250205,2.03206847785798,1,1.99735158814474
L4,SPO,None,0.871381504772481,0.855492932623443,0,0.0758829059796041,-1.02973700599689,0,6.29063393504492,2.05967616112535,1,1.9968847808113
L4,SPO,None,0.885429226376299,0.858715647785348,0,0.0849624961681718,-1.02148294199221,0,6.29425528839285,2.08932441047719,1,1.99633173104413
L4,SPO,None,0.898937448062819,0.861549974314656,0,0.093499407151898,-1.01203520128141,0,6.29832503511264,2.12105693157912,1,1.99567620720664
L4,SPO,None,0.911807050557483,0.863936917127769,0,0.101426469839808,-1.00128079629465,0,6.30288875756941,2.15483380648643,1,1.99490074911907
L4,SPO,None,0.923854460156937,0.865860948752398,0,0.108718601134988,-0.989200887105917,0,6.30795976442068,2.19034769007191,1,1.99399210999401
L4,SPO,None,0.935114467128815,0.865943176268418,0,0.113326364184687,-0.975457229127242,0,6.31355878101427,2.22734870835408,1,1.99293522987893
L4,SPO,None,0.945857960208707,0.866025403784439,0,0.118342715201799,-0.959486873693083,0,6.32009289305375,2.26791318177441,1,1.99163570589948
L4,SPO,None,0.955022521642788,0.866107631300459,0,0.123340544399602,-0.942540756951734,0,6.32706104146219,2.30841777339536,1,1.99017749904354
L4,SPO,None,0.962598373069224,0.866189858816479,0,0.128268242804585,-0.924778482462008,0,6.33440099420485,2.34836006913818,1,1.98856731841685
L4,SPO,None,0.968319622032389,0.867491570738955,0,0.134690910215251,-0.907058002019509,0,6.34186842965845,2.38644523322086,1,1.98685740517993
L4,SPO,None,0.972877912797956,0.86735872892501,0,0.138986599103499,-0.888268331937839,0,6.34967350027644,2.42380000667413,1,1.98499927798579
L4,SPO,None,0.975995227343907,0.867595808747352,0,0.143594756165855,-0.869271611250336,0,6.35761654638237,2.45950666709037,1,1.98303990159692
L4,SPO,None,0.97269368543844,0.868328923946625,0,0.140297788507352,-0.888636386337604,0,6.34960813249541,2.42349706468665,1,1.98501513866106
L4,SPO,None,0.975966647854502,0.867841183824647,0,0.143951143610838,-0.869232339581214,0,6.35765438854424,2.45967414018173,1,1.98303057460653
L4,SPO,None,0.977892897650353,0.867603854696108,0,0.147699009930351,-0.849867960881069,0,6.36571432013485,2.49375672230959,1,1.98097744882303
L4,SPO,None,0.978669398370404,0.867326291658765,0,0.151171094706195,-0.830348520390217,0,6.37383075954143,2.52610553760269,1,1.97884917890253
L4,SPO,None,0.978489034904463,0.866543974303234,0,0.153735337029459,-0.810676152043101,0,6.38194986731156,2.55666433198121,1,1.97666389617101
L4,SPO,None,0.977400553790228,0.865576163508962,0,0.155821307696644,-0.790973377793022,0,6.39003636682384,2.58546416353325,1,1.97443548642707
