x,y,z,vx,vy,vz
  5.99414835405092E+05,  1.40390163957901E+06,  2.42863960529912E+05,  4.72081988390429E-01,  1.33889149708508E+00,  2.10061512845514E-01
  6.01293716175038E+05,  1.40232324573995E+06,  2.43418469574156E+05,  4.74013647415776E-01,  1.33715302076253E+00,  2.10604518040849E-01
  6.00815299814789E+05,  1.40249541301650E+06,  2.42591030274496E+05,  4.73475352745594E-01,  1.33727586702945E+00,  2.09751081354948E-01
  6.02612337852194E+05,  1.40449730589646E+06,  2.43877624117815E+05,  4.75778377740047E-01,  1.34008758745071E+00,  2.11208001257656E-01
  5.99297261271501E+05,  1.40177456458751E+06,  2.42694977213838E+05,  4.71680069488346E-01,  1.33617911652011E+00,  2.09792316069714E-01
  6.01081650358946E+05,  1.40387972801062E+06,  2.42827900509911E+05,  4.73952776049135E-01,  1.33906930828612E+00,  2.10067345108815E-01
  6.03002503453971E+05,  1.40266145066713E+06,  2.43806074737850E+05,  4.75988851031010E-01,  1.33781091797689E+00,  2.11056522676911E-01
  6.00303001870662E+05,  1.40338880666151E+06,  2.43391734201292E+05,  4.73027225722018E-01,  1.33837995321717E+00,  2.10601350089155E-01
  5.98915421387083E+05,  1.40237910843159E+06,  2.43008659009231E+05,  4.71332738143834E-01,  1.33691064751771E+00,  2.10132646312615E-01
  6.01712265766057E+05,  1.40329794197111E+06,  2.43691426567619E+05,  4.74612303033717E-01,  1.33845046265997E+00,  2.10939908370195E-01
  6.03086530585360E+05,  1.40473982119994E+06,  2.42977773859074E+05,  4.76321048820193E-01,  1.34041316258544E+00,  2.10305144718892E-01
  6.01033027261532E+05,  1.40471241805438E+06,  2.43981727818906E+05,  4.74030351430134E-01,  1.34016731900930E+00,  2.11288541076150E-01
  6.00383217868605E+05,  1.40167175165604E+06,  2.42998576143549E+05,  4.72899152813335E-01,  1.33619776367964E+00,  2.10120244635054E-01
  6.01655340886078E+05,  1.40426273404654E+06,  2.43551472451671E+05,  4.74661239254725E-01,  1.33965950519638E+00,  2.10839643095990E-01
  6.01637596896289E+05,  1.40353970695374E+06,  2.43216542648337E+05,  4.74547538450623E-01,  1.33872462333638E+00,  2.10462004403243E-01
  6.02759320043426E+05,  1.40445157727823E+06,  2.42763262195554E+05,  4.75912789568523E-01,  1.33999789430920E+00,  2.10060731188863E-01
  6.00680052542722E+05,  1.40257399429652E+06,  2.42541133526668E+05,  4.73333393201270E-01,  1.33735505935461E+00,  2.09702376191344E-01
